TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,ROW_COUNT,BYTES,CREATED,LAST_ALTERED,OBJECT_TYPE
PUBLIC,ACCOUNT_CREDITS,BASE TABLE,268,6144,2025-09-26 08:47:31.506 -0700,2025-12-03 23:05:54.958 -0800,Table
PUBLIC,ACCOUNT_NOTES,BASE TABLE,63423,3289088,2025-09-26 08:47:32.173 -0700,2025-12-03 23:05:57.848 -0800,Table
PUBLIC,ACCOUNT_OTHER_CHARGES_CREDITS,BASE TABLE,1494,41472,2025-11-08 07:17:33.406 -0800,2025-12-03 23:06:00.191 -0800,Table
PUBLIC,ACCOUNT_RECURRING_CREDITS,BASE TABLE,2494,65536,2025-11-08 07:16:17.867 -0800,2025-12-03 23:06:02.287 -0800,Table
PUBLIC,APPOINTMENTS,BASE TABLE,733,32768,2025-09-26 08:47:32.610 -0700,2025-12-03 23:06:04.755 -0800,Table
PUBLIC,CUSTOMERS,BASE TABLE,10630,588288,2025-09-26 08:47:33.246 -0700,2025-12-03 23:06:09.398 -0800,Table
PUBLIC,CUSTOMER_ACCOUNTS,BASE TABLE,10502,158720,2025-09-26 08:47:33.661 -0700,2025-12-03 23:06:06.795 -0800,Table
PUBLIC,INVOICES,BASE TABLE,18385,435712,2025-09-26 08:47:34.072 -0700,2025-12-03 14:31:17.042 -0800,Table
PUBLIC,INVOICE_ITEMS,BASE TABLE,34739,764928,2025-09-26 08:47:34.950 -0700,2025-12-03 14:31:14.408 -0800,Table
PUBLIC,INVOICE_ITEM_TAXES,BASE TABLE,31891,603648,2025-09-26 08:47:35.345 -0700,2025-12-02 04:31:28.814 -0800,Table
PUBLIC,PAYMENTS,BASE TABLE,6855,285184,2025-09-26 08:47:35.974 -0700,2025-12-04 06:31:09.053 -0800,Table
PUBLIC,SERIALIZED_INVENTORY,BASE TABLE,14340,386560,2025-09-26 08:47:36.411 -0700,2025-12-03 23:06:11.676 -0800,Table
PUBLIC,SERVICELINES,BASE TABLE,9516,142848,2025-09-26 08:47:36.895 -0700,2025-12-03 23:06:20.507 -0800,Table
PUBLIC,SERVICELINE_ADDRESSES,BASE TABLE,9517,801792,2025-09-26 08:47:37.396 -0700,2025-12-03 23:06:13.859 -0800,Table
PUBLIC,SERVICELINE_DEVICES,BASE TABLE,11488,484864,2025-09-26 08:47:38.522 -0700,2025-12-03 23:06:16.116 -0800,Table
PUBLIC,SERVICELINE_FEATURES,BASE TABLE,12486,232960,2025-09-26 08:47:39.336 -0700,2025-12-03 23:06:18.217 -0800,Table
PUBLIC,SERVICEORDERS,BASE TABLE,1338,60416,2025-09-26 08:47:39.873 -0700,2025-12-03 23:06:31.458 -0800,Table
PUBLIC,SERVICEORDER_ADDRESSES,BASE TABLE,1338,109056,2025-09-26 08:47:40.546 -0700,2025-12-03 23:06:22.617 -0800,Table
PUBLIC,SERVICEORDER_FEATURES,BASE TABLE,1653,29696,2025-09-26 08:47:40.974 -0700,2025-12-03 23:06:24.891 -0800,Table
PUBLIC,SERVICEORDER_NOTES,BASE TABLE,4515,212992,2025-09-26 08:47:41.352 -0700,2025-12-03 23:06:27.057 -0800,Table
PUBLIC,SERVICEORDER_TASKS,BASE TABLE,4516,165888,2025-09-26 08:47:42.501 -0700,2025-12-03 23:06:29.171 -0800,Table
PUBLIC,TROUBLE_TICKETS,BASE TABLE,2758,122880,2025-09-26 08:47:43.662 -0700,2025-12-03 23:06:38.295 -0800,Table
PUBLIC,TROUBLE_TICKET_NOTES,BASE TABLE,7612,1208832,2025-09-26 08:47:44.049 -0700,2025-12-03 23:06:33.876 -0800,Table
PUBLIC,TROUBLE_TICKET_TASKS,BASE TABLE,7972,320000,2025-09-26 08:47:44.597 -0700,2025-12-03 23:06:36.149 -0800,Table
