TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
PUBLIC,ACCOUNT_CREDITS,ACCOUNT_ID,NUMBER,YES
PUBLIC,ACCOUNT_NOTES,ACCOUNT_ID,NUMBER,YES
PUBLIC,ACCOUNT_OTHER_CHARGES_CREDITS,ACCOUNT_ID,NUMBER,YES
PUBLIC,ACCOUNT_RECURRING_CREDITS,ACCOUNT_ID,NUMBER,YES
PUBLIC,ACCOUNT_RECURRING_CREDITS,ACCOUNT_RECURRING_VALID_FROM,DATE,YES
PUBLIC,ACCOUNT_RECURRING_CREDITS,ACCOUNT_RECURRING_VALID_TO,DATE,YES
PUBLIC,ACCOUNT_RECURRING_CREDITS,RECURRING_CREDIT_VALID_DAYS,NUMBER,YES
PUBLIC,ACCOUNT_RECURRING_CREDITS,RECURRING_CREDIT_VALID_MONTHS,NUMBER,YES
PUBLIC,APPOINTMENTS,ACCOUNT_ID,NUMBER,YES
PUBLIC,APPOINTMENTS,APPOINTMENT_ID,NUMBER,YES
PUBLIC,APPOINTMENTS,ORDER_ID,NUMBER,YES
PUBLIC,APPOINTMENTS,TROUBLE_TICKET_ID,TEXT,YES
PUBLIC,CUSTOMERS,ACCOUNT_ID,NUMBER,YES
PUBLIC,CUSTOMERS,CONTACT_ID,NUMBER,YES
PUBLIC,CUSTOMER_ACCOUNTS,ACCOUNT_ID,NUMBER,YES
PUBLIC,INVOICES,ACCOUNT_ID,NUMBER,YES
PUBLIC,INVOICES,BILLING_JOB_ID,NUMBER,YES
PUBLIC,INVOICES,INVOICE_ID,NUMBER,YES
PUBLIC,INVOICE_ITEMS,ACCOUNT_ID,NUMBER,YES
PUBLIC,INVOICE_ITEMS,INVOICE_ID,NUMBER,YES
PUBLIC,INVOICE_ITEMS,INVOICE_ITEM_ID,NUMBER,YES
PUBLIC,INVOICE_ITEM_TAXES,ACCOUNT_ID,NUMBER,YES
PUBLIC,INVOICE_ITEM_TAXES,INVOICE_ID,NUMBER,YES
PUBLIC,INVOICE_ITEM_TAXES,INVOICE_ITEM_ID,NUMBER,YES
PUBLIC,PAYMENTS,ACCOUNT_ID,NUMBER,YES
PUBLIC,PAYMENTS,ORGINAL_PAYMENT_ID,NUMBER,YES
PUBLIC,PAYMENTS,PAYMENT_ID,NUMBER,YES
PUBLIC,PAYMENTS,REFERENCE_ID,TEXT,YES
PUBLIC,SERIALIZED_INVENTORY,SERIALIZED_ITEM_ID,NUMBER,YES
PUBLIC,SERVICELINES,ACCOUNT_ID,NUMBER,YES
PUBLIC,SERVICELINE_ADDRESSES,ACCOUNT_ID,NUMBER,YES
PUBLIC,SERVICELINE_ADDRESSES,MAPPING_ADDRESS_ID,TEXT,YES
PUBLIC,SERVICELINE_ADDRESSES,MAPPING_AREA_ID,TEXT,YES
PUBLIC,SERVICELINE_DEVICES,ACCOUNT_ID,NUMBER,YES
PUBLIC,SERVICELINE_DEVICES,SERIALIZED_ITEM_ID,NUMBER,YES
PUBLIC,SERVICELINE_FEATURES,ACCOUNT_ID,NUMBER,YES
PUBLIC,SERVICEORDERS,ACCOUNT_ID,NUMBER,YES
PUBLIC,SERVICEORDERS,CREATED_SERVICELINE_ID,NUMBER,YES
PUBLIC,SERVICEORDERS,ORDER_ID,NUMBER,YES
PUBLIC,SERVICEORDERS,SERVICEORDER_ID,NUMBER,YES
PUBLIC,SERVICEORDER_ADDRESSES,ACCOUNT_ID,NUMBER,YES
PUBLIC,SERVICEORDER_ADDRESSES,MAPPING_ADDRESS_ID,TEXT,YES
PUBLIC,SERVICEORDER_ADDRESSES,MAPPING_AREA_ID,TEXT,YES
PUBLIC,SERVICEORDER_ADDRESSES,ORDER_ID,NUMBER,YES
PUBLIC,SERVICEORDER_ADDRESSES,SERVICEORDER_ID,NUMBER,YES
PUBLIC,SERVICEORDER_FEATURES,ACCOUNT_ID,NUMBER,YES
PUBLIC,SERVICEORDER_FEATURES,ORDER_ID,NUMBER,YES
PUBLIC,SERVICEORDER_FEATURES,SERVICEORDER_ID,NUMBER,YES
PUBLIC,SERVICEORDER_NOTES,ACCOUNT_ID,NUMBER,YES
PUBLIC,SERVICEORDER_NOTES,ORDER_ID,NUMBER,YES
PUBLIC,SERVICEORDER_NOTES,SERVICEORDER_ID,NUMBER,YES
PUBLIC,SERVICEORDER_TASKS,ACCOUNT_ID,NUMBER,YES
PUBLIC,SERVICEORDER_TASKS,SERVICEORDER_ID,NUMBER,YES
PUBLIC,SERVICEORDER_TASKS,TASK_ENDED,TIMESTAMP_NTZ,YES
PUBLIC,SERVICEORDER_TASKS,TASK_ID,NUMBER,YES
PUBLIC,SERVICEORDER_TASKS,TASK_NAME,TEXT,YES
PUBLIC,SERVICEORDER_TASKS,TASK_STARTED,TIMESTAMP_NTZ,YES
PUBLIC,TROUBLE_TICKETS,ACCOUNT_ID,NUMBER,YES
PUBLIC,TROUBLE_TICKETS,TROUBLE_TICKET_ID,NUMBER,YES
PUBLIC,TROUBLE_TICKET_NOTES,ACCOUNT_ID,NUMBER,YES
PUBLIC,TROUBLE_TICKET_NOTES,TROUBLE_TICKET_ID,NUMBER,YES
PUBLIC,TROUBLE_TICKET_TASKS,ACCOUNT_ID,NUMBER,YES
PUBLIC,TROUBLE_TICKET_TASKS,TASK_ENDED,TIMESTAMP_NTZ,YES
PUBLIC,TROUBLE_TICKET_TASKS,TASK_ID,NUMBER,YES
PUBLIC,TROUBLE_TICKET_TASKS,TASK_NAME,TEXT,YES
PUBLIC,TROUBLE_TICKET_TASKS,TASK_STARTED,TIMESTAMP_NTZ,YES
PUBLIC,TROUBLE_TICKET_TASKS,TROUBLE_TICKET_ID,NUMBER,YES
