TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
PUBLIC,ACCOUNT_CREDITS,BALANCE_DATE,TIMESTAMP_NTZ,YES
PUBLIC,ACCOUNT_NOTES,CREATED_BY,TEXT,YES
PUBLIC,ACCOUNT_NOTES,NOTE_CREATED,TIMESTAMP_NTZ,YES
PUBLIC,ACCOUNT_OTHER_CHARGES_CREDITS,OCC_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,ACCOUNT_RECURRING_CREDITS,CREATED_BY,TEXT,YES
PUBLIC,ACCOUNT_RECURRING_CREDITS,CREATED_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,ACCOUNT_RECURRING_CREDITS,MODIFIED_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,ACCOUNT_RECURRING_CREDITS,RECURRING_CREDIT_END_DATETIME,TEXT,YES
PUBLIC,ACCOUNT_RECURRING_CREDITS,RECURRING_CREDIT_START_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,APPOINTMENTS,APPOINTMENT_DATE,DATE,YES
PUBLIC,APPOINTMENTS,APPOINTMENT_FROM_TIME,TIME,YES
PUBLIC,APPOINTMENTS,APPOINTMENT_TO_TIME,TIME,YES
PUBLIC,APPOINTMENTS,CREATED_BY,TEXT,YES
PUBLIC,APPOINTMENTS,CREATED_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,APPOINTMENTS,MODIFIED_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,CUSTOMER_ACCOUNTS,ACCOUNT_CREATED,TIMESTAMP_NTZ,YES
PUBLIC,CUSTOMER_ACCOUNTS,ACCOUNT_CREATED_BY,TEXT,YES
PUBLIC,CUSTOMER_ACCOUNTS,ALERT_EXPIRATION_DATETIME,DATE,YES
PUBLIC,INVOICES,CREATED_BY,TEXT,YES
PUBLIC,INVOICES,CREATED_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,INVOICES,DUEDATE,DATE,YES
PUBLIC,INVOICES,INVOICE_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,INVOICE_ITEMS,END_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,INVOICE_ITEMS,INVOICE_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,INVOICE_ITEMS,START_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,INVOICE_ITEM_TAXES,INVOICE_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,PAYMENTS,CREATED_BY,TEXT,YES
PUBLIC,PAYMENTS,PAYMENT_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,SERIALIZED_INVENTORY,INVENTORY_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,SERVICELINES,SERVICELINE_ENDDATE,TIMESTAMP_NTZ,YES
PUBLIC,SERVICELINES,SERVICELINE_STARTDATE,TIMESTAMP_NTZ,YES
PUBLIC,SERVICELINE_DEVICES,END_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,SERVICELINE_DEVICES,START_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,SERVICELINE_FEATURES,END_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,SERVICELINE_FEATURES,START_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,SERVICEORDERS,APPLY_DATE,DATE,YES
PUBLIC,SERVICEORDERS,CREATED_BY,TEXT,YES
PUBLIC,SERVICEORDERS,CREATED_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,SERVICEORDERS,CREATED_SERVICELINE_ID,NUMBER,YES
PUBLIC,SERVICEORDERS,MODIFIED_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,SERVICEORDERS,TARGET_DATETIME,DATE,YES
PUBLIC,SERVICEORDER_NOTES,NOTE_CREATED_BY,TEXT,YES
PUBLIC,SERVICEORDER_NOTES,NOTE_CREATED_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,SERVICEORDER_TASKS,LAST_UPDATE_TIME,TIMESTAMP_NTZ,YES
PUBLIC,TROUBLE_TICKETS,CREATED_BY,TEXT,YES
PUBLIC,TROUBLE_TICKETS,CREATED_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,TROUBLE_TICKETS,MODIFIED_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,TROUBLE_TICKETS,TROUBLE_DUE_DATE,DATE,YES
PUBLIC,TROUBLE_TICKET_NOTES,CREATED_BY,TEXT,YES
PUBLIC,TROUBLE_TICKET_NOTES,CREATED_DATETIME,TIMESTAMP_NTZ,YES
PUBLIC,TROUBLE_TICKET_TASKS,LAST_UPDATE_TIME,TIMESTAMP_NTZ,YES
