TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
PUBLIC,ACCOUNT_OTHER_CHARGES_CREDITS,OCC_STATUS,TEXT,YES
PUBLIC,ACCOUNT_RECURRING_CREDITS,ACCOUNT_RECURRING_STATUS,TEXT,YES
PUBLIC,CUSTOMER_ACCOUNTS,ACCOUNT_STATUS,TEXT,YES
PUBLIC,SERIALIZED_INVENTORY,INVENTORY_STATUS,TEXT,YES
PUBLIC,SERVICELINES,SERVICELINE_STATUS,TEXT,YES
PUBLIC,SERVICELINE_ADDRESSES,SERVICELINE_ADDRESS_STATE,TEXT,YES
PUBLIC,SERVICELINE_DEVICES,INVENTORY_STATUS,TEXT,YES
PUBLIC,SERVICEORDERS,STATUS,TEXT,YES
PUBLIC,SERVICEORDER_ADDRESSES,SERVICEORDER_ADDRESS_STATE,TEXT,YES
PUBLIC,TROUBLE_TICKETS,STATUS,TEXT,YES
