TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,ROW_COUNT,COLUMN_COUNT,DATE_COLUMN_COUNT,ID_COLUMN_COUNT,STATUS_COLUMN_COUNT
PUBLIC,ACCOUNT_CREDITS,BASE TABLE,268,5,1,1,0
PUBLIC,ACCOUNT_NOTES,BASE TABLE,63423,7,1,1,0
PUBLIC,ACCOUNT_OTHER_CHARGES_CREDITS,BASE TABLE,1494,12,1,1,1
PUBLIC,ACCOUNT_RECURRING_CREDITS,BASE TABLE,2494,20,5,5,1
PUBLIC,APPOINTMENTS,BASE TABLE,733,18,3,4,0
PUBLIC,CUSTOMERS,BASE TABLE,10630,31,0,2,0
PUBLIC,CUSTOMER_ACCOUNTS,BASE TABLE,10502,18,2,1,1
PUBLIC,INVOICES,BASE TABLE,18385,16,3,3,0
PUBLIC,INVOICE_ITEMS,BASE TABLE,34739,15,3,3,0
PUBLIC,INVOICE_ITEM_TAXES,BASE TABLE,31891,18,1,3,0
PUBLIC,PAYMENTS,BASE TABLE,6855,14,1,4,0
PUBLIC,SERIALIZED_INVENTORY,BASE TABLE,14340,8,1,1,1
PUBLIC,SERVICELINES,BASE TABLE,9516,8,2,1,1
PUBLIC,SERVICELINE_ADDRESSES,BASE TABLE,9517,23,0,3,0
PUBLIC,SERVICELINE_DEVICES,BASE TABLE,11488,13,2,2,1
PUBLIC,SERVICELINE_FEATURES,BASE TABLE,12486,11,2,1,0
PUBLIC,SERVICEORDERS,BASE TABLE,1338,20,4,4,1
PUBLIC,SERVICEORDER_ADDRESSES,BASE TABLE,1338,22,0,5,0
PUBLIC,SERVICEORDER_FEATURES,BASE TABLE,1653,9,0,3,0
PUBLIC,SERVICEORDER_NOTES,BASE TABLE,4515,10,1,3,0
PUBLIC,SERVICEORDER_TASKS,BASE TABLE,4516,13,3,3,0
PUBLIC,TROUBLE_TICKETS,BASE TABLE,2758,15,3,2,1
PUBLIC,TROUBLE_TICKET_NOTES,BASE TABLE,7612,9,1,2,0
PUBLIC,TROUBLE_TICKET_TASKS,BASE TABLE,7972,13,3,3,0
