TABLE_NAME,TABLE_TYPE,ROW_COUNT,BYTES,CREATED,LAST_ALTERED
CALENDAR_DIM,BASE TABLE,21000,286208,2025-10-31 12:45:03.987 -0700,2025-10-31 12:45:04.754 -0700
DROP_BURY_BY_DAY_V,VIEW,,,2025-10-31 12:47:59.457 -0700,2025-10-31 12:47:59.660 -0700
DROP_BURY_DT,BASE TABLE,693,55296,2025-11-04 08:07:06.493 -0800,2025-12-08 07:34:49.423 -0800
LABOR_CODES,BASE TABLE,130,8192,2025-12-08 03:35:01.337 -0800,2025-12-08 03:35:02.675 -0800
RENDER_TICKETS,BASE TABLE,149709,6819328,2025-11-24 08:03:29.303 -0800,2025-12-08 03:40:06.881 -0800
RENDER_UNITS,BASE TABLE,188418,7180800,2025-11-13 11:29:58.142 -0800,2025-12-08 03:30:09.570 -0800
SCHEMA_SNAPSHOTS,BASE TABLE,26,5120,2025-11-21 11:11:28.304 -0800,2025-11-24 06:40:08.866 -0800
VW_LABOR_CODES,VIEW,,,2025-11-07 12:13:05.874 -0800,2025-11-07 12:13:06.068 -0800
VW_RENDER_TICKETS,VIEW,,,2025-11-24 08:35:11.217 -0800,2025-11-24 08:35:11.366 -0800
VW_RENDER_UNITS,VIEW,,,2025-11-21 11:33:47.598 -0800,2025-11-21 11:33:47.809 -0800
