TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,ROW_COUNT,BYTES,CREATED,LAST_ALTERED
ANALYTICS,CALENDAR_DIM,BASE TABLE,21000,286208,2025-10-31 12:45:03.987 -0700,2025-10-31 12:45:04.754 -0700
ANALYTICS,DROP_BURY_BY_DAY_V,VIEW,,,2025-10-31 12:47:59.457 -0700,2025-10-31 12:47:59.660 -0700
ANALYTICS,DROP_BURY_DT,BASE TABLE,693,55296,2025-11-04 08:07:06.493 -0800,2025-12-08 08:26:49.265 -0800
ANALYTICS,LABOR_CODES,BASE TABLE,130,8192,2025-12-08 03:35:01.337 -0800,2025-12-08 03:35:02.675 -0800
ANALYTICS,RENDER_TICKETS,BASE TABLE,149709,6819328,2025-11-24 08:03:29.303 -0800,2025-12-08 03:40:06.881 -0800
ANALYTICS,RENDER_UNITS,BASE TABLE,188418,7180800,2025-11-13 11:29:58.142 -0800,2025-12-08 03:30:09.570 -0800
ANALYTICS,SCHEMA_SNAPSHOTS,BASE TABLE,26,5120,2025-11-21 11:11:28.304 -0800,2025-11-24 06:40:08.866 -0800
ANALYTICS,VW_LABOR_CODES,VIEW,,,2025-11-07 12:13:05.874 -0800,2025-11-07 12:13:06.068 -0800
ANALYTICS,VW_RENDER_TICKETS,VIEW,,,2025-11-24 08:35:11.217 -0800,2025-11-24 08:35:11.366 -0800
ANALYTICS,VW_RENDER_UNITS,VIEW,,,2025-11-21 11:33:47.598 -0800,2025-11-21 11:33:47.809 -0800
S3_STAGES,DL_REFRESH_AUDIT,BASE TABLE,12,1536,2025-10-31 10:49:11.879 -0700,2025-12-08 00:00:02.797 -0800
S3_STAGES,DL_RENDER_ASSETS,BASE TABLE,530481,6554112,2025-12-08 03:30:15.786 -0800,2025-12-08 03:30:19.024 -0800
S3_STAGES,DL_RENDER_TICKETS,BASE TABLE,149709,6820352,2025-12-08 03:30:02.337 -0800,2025-12-08 04:11:25.509 -0800
S3_STAGES,DL_RENDER_UNITS,BASE TABLE,188418,7091712,2025-12-08 03:30:08.595 -0800,2025-12-08 03:30:15.732 -0800
S3_STAGES,DL_TASK_LOG,BASE TABLE,11246,91648,2025-10-30 14:57:04.002 -0700,2025-11-07 09:31:01.170 -0800
S3_STAGES,DL_VETRO_LOCATIONS,BASE TABLE,70565,4805632,2025-12-08 03:30:19.094 -0800,2025-12-08 03:30:22.764 -0800
S3_STAGES,VW_LABOR_CODES,VIEW,,,2025-11-07 11:54:32.016 -0800,2025-11-07 11:54:32.101 -0800
S3_STAGES,VW_RENDER_ASSETS,VIEW,,,2025-10-31 10:44:15.946 -0700,2025-10-31 10:44:16.124 -0700
S3_STAGES,VW_RENDER_TICKETS,VIEW,,,2025-11-24 07:43:24.048 -0800,2025-11-24 07:43:24.206 -0800
S3_STAGES,VW_RENDER_UNITS,VIEW,,,2025-11-21 11:32:54.605 -0800,2025-11-21 11:32:54.819 -0800
S3_STAGES,VW_VETRO_LOCATIONS,VIEW,,,2025-10-31 10:44:52.619 -0700,2025-10-31 10:44:52.813 -0700
