TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,COMMENT
DL_REFRESH_AUDIT,RUN_TS,1,TIMESTAMP_TZ,,,,YES,CURRENT_TIMESTAMP(),
DL_REFRESH_AUDIT,WHO,2,TEXT,16777216,,,YES,,
DL_REFRESH_AUDIT,NOTE,3,TEXT,16777216,,,YES,,
DL_RENDER_ASSETS,ASSET_ID,1,TEXT,16777216,,,YES,,
DL_RENDER_ASSETS,CUSTOMER_DESIGN_VERSION,2,TEXT,16777216,,,YES,,
DL_RENDER_ASSETS,INSPECTION_TASK_TYPE,3,TEXT,16777216,,,YES,,
DL_RENDER_ASSETS,INSPECTION_TASK_BLUEPRINTED,4,TEXT,16777216,,,YES,,
DL_RENDER_ASSETS,CONSTRUCTION_TASK_ID,5,TEXT,16777216,,,YES,,
DL_RENDER_ASSETS,CONSTRUCTION_TASK_NET_ID,6,TEXT,16777216,,,YES,,
DL_RENDER_ASSETS,CONSTRUCTION_TASK_COMPLETE,7,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,TASK_ID,1,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,PROJECT_ID,2,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,TASK,3,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,PHASE,4,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,QTTY,5,NUMBER,,38,0,YES,,
DL_RENDER_TICKETS,STREET_ADDRESS,6,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,ROAD_NAME,7,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,STATUS,8,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,CONTRACTOR,9,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,WORK_PACKAGE,10,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,FFP,11,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,ASSET_ID,12,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,RESOURCE_ID,13,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,RESOURCE_USER_NAME,14,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,DATE_RELEASED,15,DATE,,,,YES,,
DL_RENDER_TICKETS,DATE_COMPLETED,16,DATE,,,,YES,,
DL_RENDER_TICKETS,DATE_APPROVED,17,DATE,,,,YES,,
DL_RENDER_TICKETS,ACTION,18,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,WORK_ACTIVITY,19,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,GROUP_ID,20,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,NOTES,21,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,BLUEPRINTED_DATE,22,DATE,,,,YES,,
DL_RENDER_TICKETS,TARGET_DATE,23,DATE,,,,YES,,
DL_RENDER_TICKETS,LABELS_GENERAL,24,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,LABELS_GRANT_ID,25,TEXT,16777216,,,YES,,
DL_RENDER_TICKETS,LABELS_WORK_ORDER,26,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,PROJECT,1,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,TASK_ID,2,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,STATUS,3,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,TASK_TYPE,4,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,WORK_PACKAGE,5,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,SUBSECTOR,6,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,LABELS_GENERAL,7,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,LABELS_GRANT_ID,8,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,LABELS_JOB_TYPE,9,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,LABELS_SUPERVISOR,10,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,LABELS_GRANT_AREAS,11,TEXT,16777216,,,YES,,
DL_RENDER_UNITS,LABELS_DROP_ADMIN,12,TEXT,16777216,,,YES,,
