TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
ANALYTICS,CALENDAR_DIM,DATE_KEY,NUMBER,YES
ANALYTICS,DROP_BURY_BY_DAY_V,ASSET_NUM,NUMBER,YES
ANALYTICS,DROP_BURY_BY_DAY_V,BURY_ASSET_ID,TEXT,YES
ANALYTICS,DROP_BURY_BY_DAY_V,BURY_CONTRACTOR,TEXT,YES
ANALYTICS,DROP_BURY_BY_DAY_V,BURY_TASK_ID,TEXT,YES
ANALYTICS,DROP_BURY_BY_DAY_V,DATE_KEY,NUMBER,YES
ANALYTICS,DROP_BURY_BY_DAY_V,DROP_ASSET_ID,TEXT,YES
ANALYTICS,DROP_BURY_BY_DAY_V,DROP_CONTRACTOR,TEXT,YES
ANALYTICS,DROP_BURY_BY_DAY_V,DROP_TASK_ID,TEXT,YES
ANALYTICS,DROP_BURY_BY_DAY_V,PROJECT_ID,TEXT,YES
ANALYTICS,DROP_BURY_DT,ASSET_NUM,NUMBER,YES
ANALYTICS,DROP_BURY_DT,BURY_ASSET_ID,TEXT,YES
ANALYTICS,DROP_BURY_DT,BURY_CONTRACTOR,TEXT,YES
ANALYTICS,DROP_BURY_DT,BURY_TASK_ID,TEXT,YES
ANALYTICS,DROP_BURY_DT,DATE_KEY,NUMBER,YES
ANALYTICS,DROP_BURY_DT,DROP_ASSET_ID,TEXT,YES
ANALYTICS,DROP_BURY_DT,DROP_CONTRACTOR,TEXT,YES
ANALYTICS,DROP_BURY_DT,DROP_TASK_ID,TEXT,YES
ANALYTICS,DROP_BURY_DT,PROJECT_ID,TEXT,YES
ANALYTICS,LABOR_CODES,UNIT_CODE,TEXT,YES
ANALYTICS,RENDER_TICKETS,ASSET_ID,TEXT,YES
ANALYTICS,RENDER_TICKETS,CONTRACTOR,TEXT,YES
ANALYTICS,RENDER_TICKETS,GROUP_ID,TEXT,YES
ANALYTICS,RENDER_TICKETS,LABELS_GRANT_ID,TEXT,YES
ANALYTICS,RENDER_TICKETS,PROJECT_ID,TEXT,YES
ANALYTICS,RENDER_TICKETS,RESOURCE_ID,TEXT,YES
ANALYTICS,RENDER_TICKETS,TASK,TEXT,YES
ANALYTICS,RENDER_TICKETS,TASK_ID,TEXT,YES
ANALYTICS,RENDER_UNITS,ASSET_ID,TEXT,YES
ANALYTICS,RENDER_UNITS,CONTRACTOR,TEXT,YES
ANALYTICS,RENDER_UNITS,INSTALLED_PER_TASK_NOTES,TEXT,YES
ANALYTICS,RENDER_UNITS,LABELS_BLUEPRINT_ID,TEXT,YES
ANALYTICS,RENDER_UNITS,LABELS_ERP_PROJECT_ID,TEXT,YES
ANALYTICS,RENDER_UNITS,LABELS_GRANT_ID,TEXT,YES
ANALYTICS,RENDER_UNITS,PROJECT,TEXT,YES
ANALYTICS,RENDER_UNITS,TASK_ID,TEXT,YES
ANALYTICS,RENDER_UNITS,TASK_NOTES,TEXT,YES
ANALYTICS,RENDER_UNITS,TASK_TYPE,TEXT,YES
ANALYTICS,RENDER_UNITS,UNIT_CODE,TEXT,YES
ANALYTICS,RENDER_UNITS,UNIT_DESCRIPTION,TEXT,YES
ANALYTICS,RENDER_UNITS,UNIT_TYPE,TEXT,YES
ANALYTICS,SCHEMA_SNAPSHOTS,SNAPSHOT_ID,NUMBER,NO
ANALYTICS,VW_LABOR_CODES,UNIT_CODE,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,ASSET_ID,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,CONTRACTOR,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,GROUP_ID,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,LABELS_GRANT_ID,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,PROJECT_ID,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,RESOURCE_ID,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,TASK,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,TASK_ID,TEXT,YES
ANALYTICS,VW_RENDER_UNITS,ASSET_ID,TEXT,YES
