TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
ANALYTICS,DROP_BURY_BY_DAY_V,PROJECT_ID,TEXT,YES
ANALYTICS,DROP_BURY_DT,PROJECT_ID,TEXT,YES
ANALYTICS,RENDER_TICKETS,ASSET_ID,TEXT,YES
ANALYTICS,RENDER_TICKETS,CONTRACTOR,TEXT,YES
ANALYTICS,RENDER_TICKETS,PROJECT_ID,TEXT,YES
ANALYTICS,RENDER_TICKETS,TASK_ID,TEXT,YES
ANALYTICS,RENDER_UNITS,ASSET_ID,TEXT,YES
ANALYTICS,RENDER_UNITS,CONTRACTOR,TEXT,YES
ANALYTICS,RENDER_UNITS,TASK_ID,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,ASSET_ID,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,CONTRACTOR,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,PROJECT_ID,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,TASK_ID,TEXT,YES
ANALYTICS,VW_RENDER_UNITS,ASSET_ID,TEXT,YES
ANALYTICS,VW_RENDER_UNITS,CONTRACTOR,TEXT,YES
ANALYTICS,VW_RENDER_UNITS,TASK_ID,TEXT,YES
S3_STAGES,DL_RENDER_ASSETS,ASSET_ID,TEXT,YES
S3_STAGES,DL_RENDER_TICKETS,ASSET_ID,TEXT,YES
S3_STAGES,DL_RENDER_TICKETS,CONTRACTOR,TEXT,YES
S3_STAGES,DL_RENDER_TICKETS,PROJECT_ID,TEXT,YES
S3_STAGES,DL_RENDER_TICKETS,TASK_ID,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,ASSET_ID,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,CONTRACTOR,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,TASK_ID,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,ID,TEXT,YES
S3_STAGES,VW_RENDER_ASSETS,ASSET_ID,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,ASSET_ID,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,CONTRACTOR,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,PROJECT_ID,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,TASK_ID,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,ASSET_ID,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,CONTRACTOR,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,TASK_ID,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,ID,TEXT,YES
