TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,IS_NULLABLE
ANALYTICS,DROP_BURY_BY_DAY_V,Bury Status,TEXT,YES
ANALYTICS,DROP_BURY_BY_DAY_V,Drop Status,TEXT,YES
ANALYTICS,DROP_BURY_DT,Bury Status,TEXT,YES
ANALYTICS,DROP_BURY_DT,Drop Status,TEXT,YES
ANALYTICS,RENDER_TICKETS,PHASE,TEXT,YES
ANALYTICS,RENDER_TICKETS,STATUS,TEXT,YES
ANALYTICS,RENDER_UNITS,STATUS,TEXT,YES
ANALYTICS,SCHEMA_SNAPSHOTS,STAGE_NAME,TEXT,NO
ANALYTICS,VW_RENDER_TICKETS,PHASE,TEXT,YES
ANALYTICS,VW_RENDER_TICKETS,STATUS,TEXT,YES
ANALYTICS,VW_RENDER_UNITS,STATUS,TEXT,YES
S3_STAGES,DL_RENDER_TICKETS,PHASE,TEXT,YES
S3_STAGES,DL_RENDER_TICKETS,STATUS,TEXT,YES
S3_STAGES,DL_RENDER_UNITS,STATUS,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,FIBER_AVAILABILITY_STATUS,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,STATE,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,STATUS,TEXT,YES
S3_STAGES,DL_VETRO_LOCATIONS,V_STATUS,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,PHASE,TEXT,YES
S3_STAGES,VW_RENDER_TICKETS,STATUS,TEXT,YES
S3_STAGES,VW_RENDER_UNITS,STATUS,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,FIBER_AVAILABILITY_STATUS,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,STATE,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,STATUS,TEXT,YES
S3_STAGES,VW_VETRO_LOCATIONS,V_STATUS,TEXT,YES
