TABLE_SCHEMA,TABLE_NAME,TABLE_TYPE,ROW_COUNT,COLUMN_COUNT,DATE_COLUMN_COUNT,ID_COLUMN_COUNT,STATUS_COLUMN_COUNT
ANALYTICS,CALENDAR_DIM,BASE TABLE,21000,15,5,0,0
ANALYTICS,DROP_BURY_BY_DAY_V,VIEW,,36,14,5,2
ANALYTICS,DROP_BURY_DT,BASE TABLE,693,26,9,5,2
ANALYTICS,LABOR_CODES,BASE TABLE,130,7,1,0,0
ANALYTICS,RENDER_TICKETS,BASE TABLE,149709,26,5,6,1
ANALYTICS,RENDER_UNITS,BASE TABLE,188418,38,3,5,1
ANALYTICS,SCHEMA_SNAPSHOTS,BASE TABLE,26,9,1,1,0
ANALYTICS,VW_LABOR_CODES,VIEW,,7,1,0,0
ANALYTICS,VW_RENDER_TICKETS,VIEW,,26,5,6,1
ANALYTICS,VW_RENDER_UNITS,VIEW,,43,3,5,1
S3_STAGES,DL_REFRESH_AUDIT,BASE TABLE,12,3,1,0,0
S3_STAGES,DL_RENDER_ASSETS,BASE TABLE,530481,7,0,3,0
S3_STAGES,DL_RENDER_TICKETS,BASE TABLE,149709,26,5,6,1
S3_STAGES,DL_RENDER_UNITS,BASE TABLE,188418,38,3,5,1
S3_STAGES,DL_TASK_LOG,BASE TABLE,11246,3,1,0,0
S3_STAGES,DL_VETRO_LOCATIONS,BASE TABLE,70565,32,0,6,3
S3_STAGES,VW_LABOR_CODES,VIEW,,7,1,0,0
S3_STAGES,VW_RENDER_ASSETS,VIEW,,7,0,3,0
S3_STAGES,VW_RENDER_TICKETS,VIEW,,26,5,6,1
S3_STAGES,VW_RENDER_UNITS,VIEW,,38,3,5,1
S3_STAGES,VW_VETRO_LOCATIONS,VIEW,,32,0,6,3
