SCHEMA1,TABLE1,COLUMN_NAME,DATA_TYPE1,SCHEMA2,TABLE2,DATA_TYPE2
ANALYTICS,RENDER_TICKETS,ASSET_ID,TEXT,S3_STAGES,DL_RENDER_ASSETS,TEXT
ANALYTICS,RENDER_TICKETS,ASSET_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_TICKETS,ASSET_ID,TEXT,S3_STAGES,DL_RENDER_UNITS,TEXT
ANALYTICS,RENDER_TICKETS,ASSET_ID,TEXT,S3_STAGES,VW_RENDER_ASSETS,TEXT
ANALYTICS,RENDER_TICKETS,ASSET_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_TICKETS,ASSET_ID,TEXT,S3_STAGES,VW_RENDER_UNITS,TEXT
ANALYTICS,RENDER_UNITS,ASSET_ID,TEXT,S3_STAGES,DL_RENDER_ASSETS,TEXT
ANALYTICS,RENDER_UNITS,ASSET_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_UNITS,ASSET_ID,TEXT,S3_STAGES,DL_RENDER_UNITS,TEXT
ANALYTICS,RENDER_UNITS,ASSET_ID,TEXT,S3_STAGES,VW_RENDER_ASSETS,TEXT
ANALYTICS,RENDER_UNITS,ASSET_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
ANALYTICS,RENDER_UNITS,ASSET_ID,TEXT,S3_STAGES,VW_RENDER_UNITS,TEXT
ANALYTICS,VW_RENDER_TICKETS,ASSET_ID,TEXT,S3_STAGES,DL_RENDER_ASSETS,TEXT
ANALYTICS,VW_RENDER_TICKETS,ASSET_ID,TEXT,S3_STAGES,DL_RENDER_TICKETS,TEXT
ANALYTICS,VW_RENDER_TICKETS,ASSET_ID,TEXT,S3_STAGES,DL_RENDER_UNITS,TEXT
ANALYTICS,VW_RENDER_TICKETS,ASSET_ID,TEXT,S3_STAGES,VW_RENDER_ASSETS,TEXT
ANALYTICS,VW_RENDER_TICKETS,ASSET_ID,TEXT,S3_STAGES,VW_RENDER_TICKETS,TEXT
